Paper_ID	Year	Domain	System_specific	Phylum	Class	Order	Family	Genus 	species	Ecological_Classification	Control	Control_identity	Congeneric_control	Response_variable	Response_Group	Predictor_variable	Predictor_Group	Statistical_method	Test_statistic	Value	df	N	Direction_of_effect	P-value	Pearson_r_conversion	Notes	Compiler
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C measured at 10.5 m bgs U01 well	Temperature	Abundance	Bacterial cell abundance	Shapiro	r2	0,4800	NA	32	+	NA	0,693	-	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C measured at 13.5 m bgs U01 well	Temperature	Abundance	Bacterial cell abundance	Shapiro	r2	1,0000	NA	32	+	NA	1,000	Sic!	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C measured at 7.5 m bgs D09 well	Temperature	Abundance	Bacterial cell abundance	Shapiro	r2	0,2300	NA	32	+	NA	0,480	-	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C measured at 10.5 m bgs D09 well	Temperature	Abundance	Bacterial cell abundance	Shapiro	r2	0,0300	NA	32	+	NA	0,173	-	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C measured at 13.5 m bgs D09 well	Temperature	Abundance	Bacterial cell abundance	Shapiro	r2	0,3400	NA	32	-	NA	-0,583	Sign flipped ; decrease in cells	Melissa Meierhofer
CC_0585	2007	Aquatic	Hyporheic	Arthopoda	Multiple	Multiple	Multiple	Multiple	Multiple	External	yes	Surface river	Not applicable	Drought	Drought	Abundance	Refugium effect	ANOVA	F	0,3920	18	20	-	0,543	0,092	neutral ; estimated N as none was given (1, 18) ; dry, low, and wet sites 	Melissa Meierhofer
CC_0586	2006	Aquatic	Hyporheic	Arthopoda	Malacostraca	Amphipoda	Gammaridae	Gammarus	pulex	Troglophile/Stygophile	yes	Surface river	Not applicable	Drought	Drought	Abundance	Refugium effect	RM-ANOVA	F	21,6800	6108	280	+	<0.001	0,267	10 samples collected across 7 months at 4 sites = n ; sites with different water flow	Melissa Meierhofer
CC_0586	2006	Aquatic	Hyporheic	Arthopoda	Multiple	Multiple	Multiple	Multiple	Multiple	External ; Troglophile/Stygophile	yes	Surface river	Not applicable	Drought	Drought	Abundance	Habitat availability	RM-ANOVA	F	0,0060	69	70	-	0,944	0,001	neutral ; not sure about sample size (1, 69)  ; sites with different water flow	Melissa Meierhofer
CC_0350	2014-2015	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Flow permanence	Climate Change	Diversity	Habitat availability	GLMM	F	2,7100	118	115	-	>0,05	-0,240	Sign flipped. Stats obtained in results section at page 5. The authors presented the GLMM results with the F statistics. ANOVA conversion formulas were used	Mattia Di Cicco
CC_0350	2014-2015	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Flow permanence	Climate Change	Abundance	Habitat availability	GLMM	F	78,5800	114	115	-	<0,001	-0,990	Sign flipped. Stats obtained in results section at page 5. The authors presented the GLMM results with the F statistics. ANOVA conversion formulas were used	Mattia Di Cicco
CC_0350	2014-2015	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Flow permanence	Climate Change	Taxonomic richness	Habitat availability	GLMM	F	9,3000	114	115	-	<0,01	-0,650	Sign flipped. Stats obtained in results section at page 5. The authors presented the GLMM results with the F statistics. ANOVA conversion formulas were used	Mattia Di Cicco
CC_0350	2014-2015	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Flow permanence	Climate Change	Channel stability	Habitat availability	GLMM	F	6,2400	114	115	-	>0,05	-0,503	Sign flipped. Stats obtained in results section at page 5. The authors presented the GLMM results with the F statistics. ANOVA conversion formulas were used	Mattia Di Cicco
CC_0350	2014-2015	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Flow permanence	Climate Change	Diversity	Habitat availability	GLMM	r2	0,0280	118	115	-	>0,05	-0,167	Sign flipped. Stats obtained in results section at page 5. The authors presented the GLMM results with the F statistics and a pseudo R squared value. For the same model two different conversions were made	Mattia Di Cicco
CC_0350	2014-2015	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Flow permanence	Climate Change	Abundance	Habitat availability	GLMM	r2	0,4100	114	115	-	<0,001	-0,640	Sign flipped. Stats obtained in results section at page 5. The authors presented the GLMM results with the F statistics and a pseudo R squared value. For the same model two different conversions were made	Mattia Di Cicco
CC_0350	2014-2015	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Flow permanence	Climate Change	Taxonomic richness	Habitat availability	GLMM	r2	0,2100	114	115	-	<0,01	-0,460	Sign flipped. Stats obtained in results section at page 5. The authors presented the GLMM results with the F statistics and a pseudo R squared value. For the same model two different conversions were made	Mattia Di Cicco
CC_0350	2014-2015	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Flow permanence	Climate Change	Channel stability	Habitat availability	GLMM	r2	0,0020	114	115	-	>0,05	-0,045	Sign flipped. Stats obtained in results section at page 5. The authors presented the GLMM results with the F statistics and a pseudo R squared value. For the same model two different conversions were made	Mattia Di Cicco
CC_0354	1970-2005	Aquatic	Streams	Chordata	Pisces	Multiple	Multiple	Multiple	Multiple	External	no	Not applicable	Not applicable	Maximum Annual Air Temperature increase	Climate Change (Temperature)	Proportion of sites with cold water fishes	Habitat shift	MLR	beta and p value	-0,3900	NA	43	-	0,05	-0,299	The authors were contacted at least to have the exact p-value for the beta. They didn't answer so i decided to adopt a cautelative approach and assume the p equal to 0.05. For the r estimation the package demtar was used	Mattia Di Cicco
CC_0354	1970-2005	Aquatic	Streams	Chordata	Pisces	Multiple	Multiple	Multiple	Multiple	External	no	Not applicable	Not applicable	Maximum Annual Air Temperature increase	Climate Change (Temperature)	Proportion of sites with warm water fishes	Habitat shift	MLR	beta and p value	0,4300	NA	43	+	0,05	0,298	The authors were contacted at least to have the exact p-value for the beta. They didn't answer so i decided to adopt a cautelative approach and assume the p equal to 0.05. For the r estimation the package demtar was used	Mattia Di Cicco
CC_0354	1970-2005	Aquatic	Streams	Chordata	Pisces	Multiple	Multiple	Multiple	Multiple	External	no	Not applicable	Not applicable	Mean Annual Air Temperature increase	Climate Change (Temperature)	Proportion of sites with warm water fishes	Habitat shift	MLR	beta and p value	0,4500	NA	43	+	0,05	0,298	The authors were contacted at least to have the exact p-value for the beta. They didn't answer so i decided to adopt a cautelative approach and assume the p equal to 0.05. For the r estimation the package demtar was used	Mattia Di Cicco
CC_0355	2020	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Mean annual temperature	Temperature	Bryophytes species richness	Habitat availability	GLM	z	-3,2250	NA	338	-	<0,01	-0,175	z value calculated starting from beta and SE	Mattia Di Cicco
CC_0355	2020	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Mean annual temperature	Temperature	Mosses species richness	Habitat availability	GLM	z	-3,2180	NA	338	-	<0,01	-0,175	z value calculated starting from beta and SE	Mattia Di Cicco
CC_0355	2020	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Mean annual temperature	Temperature	Bryophytes species richness	Habitat availability	Kendall correlation coefficent	tau	-0,2100	NA	338	-	<0,001	-0,324	conversion formula from Lejeunesse et al 2013 	Mattia Di Cicco
CC_0355	2020	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Mean annual temperature	Temperature	Mosses species richness	Habitat availability	Kendall correlation coefficent	tau	-0,0600	NA	338	-	<0,001	-0,095	conversion formula from Lejeunesse et al 2013 	Mattia Di Cicco
CC_0355	2020	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Mean annual temperature	Temperature	Rare Bryophytes species richness	Habitat availability	Kendall correlation coefficent	tau	-0,4700	NA	338	-	<0,001	-0,670	conversion formula from Lejeunesse et al 2013 	Mattia Di Cicco
CC_0399	1970-2010	Aquatic	Aquifer ; Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Climate Change generic	Climate Change	GW recharge	Habitat availability	LM	r2	0,8100	NA	766	-	NA	-0,900	Sign flipped. Stats obtained from Figure 6a	Mattia Di Cicco
CC_0399	1970-2010	Aquatic	Aquifer ; Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Climate Change generic	Climate Change	Revap (GW amount towards the soil)	Habitat availability	LM	r2	0,1200	NA	766	-	NA	-0,340	Sign flipped. Stats obtained from Figure 6a	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 4° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	3,7600	NA	160	+	NA	0,880	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 4° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	3,4000	NA	160	+	NA	0,862	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 3° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	2,2500	NA	160	+	NA	0,747	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 5° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	4,2800	NA	160	+	NA	0,906	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 4° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	3,8000	NA	160	+	NA	0,885	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 4° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	2,3200	NA	160	+	NA	0,757	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 3° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	2,8300	NA	160	+	NA	0,817	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 3° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	2,1800	NA	160	+	NA	0,737	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 3° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	1,6400	NA	160	+	NA	0,643	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 2° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	3,1100	NA	160	+	NA	0,841	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 4° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	2,3400	NA	160	+	NA	0,760	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 3° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	1,9500	NA	160	+	NA	0,698	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 3° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	2,2000	NA	160	+	NA	0,740	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 2° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	1,7500	NA	160	+	NA	0,656	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 1° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	1,0200	NA	160	+	NA	0,454	Data from table 4 column 5	Mattia Di Cicco
CC_0409	1925-2005	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Surface atmosphere temperature increase of 2° in 2099	Air Temperature	GW Temperature (8 m below the surface)	GW Temperature	Mean difference	d	1,4000	NA	160	+	NA	0,373	Data from table 4 column 5	Mattia Di Cicco
CC_0411	1990-2001	Aquatic	Aquifer	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	no	Not applicable	Not applicable	Climate Change generic	Climate Change	Nitrate concentration in saturated zone	Pollutant concentration	Mean difference	Mean +/- SD	0,9791	NA	16	+	NA	0,440	Mean and SD inferred through image analisis of figure 4. N was inferred because not clear in the text	Mattia Di Cicco
